,mi_mobile_name,Rate
0,"Redmi 9A Sport (Carbon Black, 32 GB)","₹6,849"
1,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,945"
2,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,917"
3,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹6,940"
4,"Redmi Note 11 (Horizon Blue, 64 GB)","₹13,149"
5,"Redmi Note 11 (Starburst White, 64 GB)","₹14,899"
6,"Redmi Note 11 (Space Black, 128 GB)","₹15,880"
7,"Redmi 9A Sport (Coral Green, 32 GB)","₹6,875"
8,"Redmi Note 11 (Horizon Blue, 64 GB)","₹14,264"
9,"Redmi Note 11 (Horizon Blue, 128 GB)","₹15,832"
10,"Redmi Note 11 (Space Black, 64 GB)","₹14,169"
11,"REDMI 10A (Slate Grey, 32 GB)","₹8,761"
12,"Redmi 9A (Midnight Black, 32 GB)","₹7,300"
13,"Redmi 9A (Nature Green, 32 GB)","₹7,980"
14,"Redmi 9A (SeaBlue, 32 GB)","₹7,118"
15,"REDMI 10A (Slate grey, 64 GB)","₹9,499"
16,"REDMI 10A (Sea Blue, 64 GB)","₹9,999"
17,"Xiaomi 11i 5G (Camo Green, 128 GB)","₹24,999"
18,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹24,999"
19,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹26,999"
20,"Redmi Note 11 (Starburst White, 64 GB)","₹13,290"
21,"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹26,999"
22,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹24,999"
23,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 256 GB)","₹25,645"
